votes_per_item;method;accuracy_conf;accuracy_conf_std;accuracy_prob_conf;accuracy_prob_conf_std;precision_conf;precision_std;recall_conf;recall_conf_std;accuracy;accuracy_std;accuracy_prob;accuracy_prob_std;votes_per_worker_mean;votes_per_worker_std
17;sums;;;;;;;;;0.7549649123;0.03975130832;;;3.736263736;2.827786634
17;D&S;;;;;;;;;0.7302690058;0.06348788172;0.6635632876;0.05262163663;3.736263736;2.827786634
17;inv_f;;;;;;;;;0.814871345;0.04737069556;;;3.736263736;2.827786634
17;avlog_f;;;;;;;;;0.806871345;0.04825689218;;;3.736263736;2.827786634
17;mv;;;;;;;;;0.7724502924;0.03965646614;0.6431482628;0.01873826227;3.736263736;2.827786634
17;sums_f;;;;;;;;;0.8089239766;0.04866973741;;;3.736263736;2.827786634
17;pinv;;;;;;;;;0.7817076023;0.05908305997;;;3.736263736;2.827786634
17;pinv_f;;;;;;;;;0.8138187135;0.05255995159;;;3.736263736;2.827786634
17;mcmc_f;;;;;;;;;0.8068187135;0.05154619772;0.8075818713;0.05009982221;3.736263736;2.827786634
19;truth_finder;;;;;;;;;0.7777894737;0.04848154117;0.7778068235;0.04847609116;4.130434783;3.093532494
19;avlog;;;;;;;;;0.7617368421;0.05137772241;;;4.130434783;3.093532494
19;mcmc;;;;;;;;;0.7849473684;0.0499529973;0.7801447368;0.04721533926;4.130434783;3.093532494
19;mv_f;;;;;;;;;0.8121578947;0.04423836843;0.7404175132;0.03467800011;4.130434783;3.093532494
19;mcmc_conf;0.8606681776;0.03200301414;0.8134249086;0.03272911651;0.8783551334;0.06717339156;0.561508233;0.08935970036;0.8159605263;0.0429269757;0.8162105263;0.04272361735;4.130434783;3.093532494
19;truth_finder_f;;;;;;;;;0.8152105263;0.04479652366;0.8152116526;0.04479541061;4.130434783;3.093532494
19;inv;;;;;;;;;0.8148947368;0.05602138986;;;4.130434783;3.093532494
19;D&S_f;;;;;;;;;0.7536842105;0.06089134777;0.7104164832;0.05565398894;4.130434783;3.093532494
19;sums;;;;;;;;;0.7547368421;0.0456440522;;;4.130434783;3.093532494
19;D&S;;;;;;;;;0.7766842105;0.05511511499;0.7050478602;0.04171161385;4.130434783;3.093532494
19;inv_f;;;;;;;;;0.8262105263;0.04583772412;;;4.130434783;3.093532494
19;avlog_f;;;;;;;;;0.8161578947;0.04408820798;;;4.130434783;3.093532494
19;mv;;;;;;;;;0.7717894737;0.04311307043;0.6491551247;0.01802354203;4.130434783;3.093532494
19;sums_f;;;;;;;;;0.8191578947;0.0456926987;;;4.130434783;3.093532494
19;pinv;;;;;;;;;0.8077894737;0.05651455332;;;4.130434783;3.093532494
19;pinv_f;;;;;;;;;0.8282631579;0.04327266511;;;4.130434783;3.093532494
19;mcmc_f;;;;;;;;;0.8162105263;0.04272361735;0.8159605263;0.0429269757;4.130434783;3.093532494
21;truth_finder;;;;;;;;;0.7705263158;0.03483240444;0.7705407175;0.03482169279;4.719101124;3.215093491
